Start program
Current value: 0
Current value: 1
Current value: 2
Current value: 3
Current value: 4
Current value: 5
Current value: 6
Current value: 7
Current value: 8
Current value: 9
Current value: 10
Current value: 11
Current value: 12
Current value: 13
Current value: 14
Current value: 15
Current value: 16
Current value: 17
Current value: 18
Current value: 19
Current value: 20
Current value: 21
Current value: 22
Current value: 23
Current value: 24
Current value: 25
Current value: 26
Current value: 27
Current value: 28
Current value: 29
Current value: 30
Current value: 31
Current value: 32
Current value: 33
Current value: 34
Current value: 35
Current value: 36
Current value: 37
Current value: 38
Current value: 39
Current value: 40
Current value: 41
Current value: 42
Current value: 43
Current value: 44
Current value: 45
Current value: 46
Current value: 47
Current value: 48
Current value: 49
Current value: 50
Current value: 51
Current value: 52
Current value: 53
Current value: 54
Current value: 55
Current value: 56
Current value: 57
Current value: 58
Current value: 59
Current value: 60
Current value: 61
Current value: 62
Current value: 63
Current value: 64
Current value: 65
Current value: 66
Current value: 67
Current value: 68
Current value: 69
Current value: 70
Current value: 71
Current value: 72
Current value: 73
Current value: 74
Current value: 75
Current value: 76
Current value: 77
Current value: 78
Current value: 79
Current value: 80
Current value: 81
Current value: 82
Current value: 83
Current value: 84
Current value: 85
Current value: 86
Current value: 87
Current value: 88
Current value: 89
Current value: 90
Current value: 91
Current value: 92
Current value: 93
Current value: 94
Current value: 95
Current value: 96
Current value: 97
Current value: 98
Current value: 99
Program executed
